施設名	ps1_同伴者	ps1_年代	ps1_地方	ps1_年収	ps1_カウント	ps2_同伴者	ps2_年代	ps2_地方	ps2_年収	ps2_カウント	ps3_同伴者	ps3_年代	ps3_地方	ps3_年収	ps3_カウント	AIアドバイス
KKRホテル金沢	家族連れ	中年層	中部	1,000万円以上	5	2人組	高齢層	関東	400～700万円未満	4	その他	中年層	関東	1,000万円以上	4	
KOKOHOTEL Premier 金沢香林坊	2人組	若年層	関東	400～700万円未満	23	2人組	中年層	関東	1,000万円以上	17	ひとり	中年層	関東	1,000万円以上	15	"1. 評価ポイント・改善ポイント
展示物やスタッフの対応が評価されており、特にお土産の充実度やウェルカムドリンクも好評です。ただ、照明が暗いとの指摘や閉店時間の早さは改善が必要にゃ。

2. 即応策
短期的には、照明の調整を行い明るさを改善するにゃ。中期的には、閉店時間を見直し、訪問客がもっとリラックスして過ごせるように延長する施策を検討するにゃ。

3. 期待効果
照明改善により、訪問者の滞在時間が延び、より多くの人が快適に過ごせるようになるため、満足度や再訪率が向上するにゃ。また、閉店時間の延長によって夕方の客数増加が期待できるにゃ。

4. SNS発信用キャッチコピー例
若年層：友達との特別なひとときを、美しい展示で彩ろう！
中年層：贅沢なひとときを、大人のための芸術体験で満喫しませんか？
高齢層：心温まるアート体験で、安心して過ごす穏やかな時間を。

5. 追加の収益施策アイデア
特別なナイトミュージアムイベントや、テーマに合わせたワークショップを開催し、夜間来館者をターゲットにしたプランを企画するにゃ。これにより、さらなる集客と売上の向上が見込めるにゃ。"
「安宅の関」こまつ勧進帳の里	2人組	中年層	中部	400万円未満	6	2人組	若年層	中部	400万円未満	4	2人組	高齢層	中部	400～700万円未満	2	"1. 評価ポイント・改善ポイント
施設の美味しい蟹料理や温泉、伝統芸能の展示は好評で、顧客満足度が高いにゃ。しかし、特に改善点として「特にないです」との声があり、より細やかなサービスや新しい体験提供が必要にゃ。

2. 即応策
短期には、現行メニューに加え季節限定の蟹料理を提供するにゃ。また、温泉の利用者向けに有料の特別プランを設定して独自の体験を提供にゃ。中期には、地域の伝統芸能ワークショップを定期開催し、参加者に新しい体験を提供するにゃ。

3. 期待効果
顧客満足度の向上やリピーターの増加につながり、再訪率が向上するにゃ。新しい体験によってSNSでの拡散と話題性が生まれるにゃ。

4. SNS発信用キャッチコピー例
ペルソナ名称1：蟹と温泉を愛する中年層・「美味しい蟹と温泉、心も体もリフレッシュ！」
ペルソナ名称2：若いカップル・「パートナーと楽しむ、特別な時間」
ペルソナ名称3：友人同士の中年層・「友達とともに心に残る思い出を作ろう！」

5. 追加の収益施策アイデア
地域の特産品を使ったお土産ショップの新設や、施設利用客向けの宿泊プランをバンドルした特別パッケージの導入にゃ。また、オンラインでの体験予約サービスを提供し、遠方からの集客を図るにゃ。"
いこいの村能登半島	2人組	中年層	近畿	400～700万円未満	2	2人組	若年層	関東	1,000万円以上	1	2人組	高齢層	中部	1,000万円以上	1	
いしかわ動物園	家族連れ	中年層	中部	400～700万円未満	71	家族連れ	若年層	中部	400～700万円未満	66	2人組	若年層	中部	400万円未満	26	"1. 評価ポイント・改善ポイント
施設の動物展示や清潔感に対して多くの好評が寄せられており、特に子どもたちが楽しめる環境が整っています。一方、入口のスロープが長いことや駐車場の遠さ、授乳室の鍵がない点は改善が必要です。

2. 即応策
短期的には、授乳室に鍵を設置し、駐車場からのシャトルバスを無料で運行することを検討するにゃ。また、入口のスロープに目立つサインを設置し、事前に親向けの情報を提供することで、ファミリー層の不安を軽減にゃ。

3. 期待効果
これにより、親子連れの満足度が向上し、再訪率が高まることが期待できるにゃ。特に、授乳室の改善は新生児を連れた家族に訴求力が高まるにゃ。

4. SNS発信用キャッチコピー例
- 家族連れ（中年層）：笑顔あふれる家族の思い出、動物たちとともに！
- 家族連れ（若年層）：親子で楽しめる冒険、動物の世界へGO！
- 2人組（若年層）：仲間と一緒に、動物と過ごす特別なひととき！

5. 追加の収益施策アイデア
動物のふれあい体験や特別イベントを企画することで、参加費用を設定し、訪問者がより深く動物と触れ合える機会を提供するにゃ。さらに、季節ごとのテーマイベントを展開し、リピーターを増やす施策も検討するにゃ。"
お花見久兵衛	2人組	高齢層	中部	400～700万円未満	3	友人	中年層	近畿	400万円未満	3	家族連れ	中年層	中部	400～700万円未満	3	"1. 評価ポイント・改善ポイント  
お客様から「楽しめました」という声を多数いただいており、施設の楽しさや体験の魅力が評価されています。今後は、特に高齢層や家族連れに向けたサービスやイベントの充実を図る必要がありますにゃ。

2. 即応策  
- 短期: 高齢層向けのガイドツアーや健康ワークショップを開催することで、参加者に特別感を提供するにゃ。  
- 中期: 家族連れ向けに季節ごとのイベントを企画し、リピート訪問を促すプランを立てるにゃ。

3. 期待効果  
参加者の満足度が向上し、特に高齢層や家族連れのお客様の再訪率が増加することが期待されるにゃ。

4. SNS発信用キャッチコピー例  
- 高齢層向け：『あなたの笑顔が見たくて。大人のための特別ガイドツアー開催中！』  
- 中年層向け：『友人と一緒に、特別な思い出を作りませんか？楽しさ倍増の企画！』  
- 家族連れ向け：『家族みんなで楽しめる、ワクワクイベント！皆で思い出を作ろう！』  

5. 追加の収益施策アイデア  
- 地元の飲食店と提携して、施設入場券で特別割引が受けられるクーポンを配布するにゃ。  
- 体験型ワークショップを有料で提供し、参加者の体験価値を高めるにゃ。"
かがにこにこパーク	家族連れ	若年層	中部	400～700万円未満	16	家族連れ	中年層	中部	400～700万円未満	10	家族連れ	高齢層	中部	400～700万円未満	2	
からくり記念館	2人組	若年層	中部	400～700万円未満	3	2人組	高齢層	中部	400万円未満	3	家族連れ	中年層	中部	400～700万円未満	3	"1. 評価ポイント・改善ポイント
観光施設の建物と庭は非常に素晴らしい評価を受けており、見やすさも高く評価されています。しかし、若年層向けのアクティビティやサービスが不足しているため、幅広い客層へのアピールが必要にゃ。

2. 即応策（低コストでできる具体的な行動）
短期策として、季節限定のフォトスポットを設置し、SNS映えを狙った背景や小道具を用意するにゃ。また、中期策として、若年層向けにプロモーションを強化し、インスタグラムやTikTokでのキャンペーンを実施するにゃ。

3. 期待効果（満足度・再訪率など）
これにより、若年層及びファミリー層の訪問者が増加し、全体的な満足度の向上や再訪率の向上が期待できるにゃ。

4. SNS発信用キャッチコピー例
家族連れ：家族と思い出を作る特別な空間、ここにあります！
若年層：友達との最高の思い出を、ここで残そう！
高齢層：懐かしい風景を一緒に楽しみましょう、また訪れたい場所に。

5. 追加の収益施策アイデア
特定の曜日にファミリーディスカウントデーを設け、家族連れをターゲットにしたプランや、訪問記念商品の販売なども視野に入れれば、収益向上につながるにゃ。"
たちばな四季亭	2人組	高齢層	中部	400～700万円未満	8	2人組	中年層	中部	1,000万円以上	7	2人組	若年層	中部	400万円未満	7	"1. 評価ポイント・改善ポイント
施設の接客や料理の質が高く、訪れたお客様から評価されている点は素晴らしいにゃ。この良さをさらに広める工夫が必要にゃ。また、客層が多様で、特に高齢層や中年層の満足度を高める施策が求められるにゃ。

2. 即応策（短期）
- 料理メニューに季節のおすすめ料理を追加し、食材や料理に関するストーリーをSNSで発信するにゃ。
- 露天風呂の写真や動画をSNSでシェアするキャンペーンを実施し、特定のハッシュタグを使ってもらうにゃ。
- 接客スタッフへの教育を強化し、アットホームな雰囲気を演出するコミュニケーションを工夫するにゃ。

3. 期待効果
お客様の滞在満足度が向上し、再訪率やSNSでのシェアが増加することで、集客の増加が期待できるにゃ。

4. SNS発信用キャッチコピー例
- 高齢層：優雅な時間を、温泉と美食で。ゆったりしたひとときをご提供しますにゃ。
- 中年層：贅沢な休日を、特別な料理とサービスで味わう。あなたの日常に特別なひとときを。
- 若年層：仲間と一緒に楽しむ、癒しの温泉体験。記念日にぴったりなスポットですにゃ！

5. 追加の収益施策アイデア
- プレミアムプラン（特別料理＋スパトリートメント）を提供し、高価格帯の宿泊プランを提案するにゃ。
- 地域の特産品を使った料理教室を開催し、参加費を設定することで新たな収益源を生み出すにゃ。"
のとじま水族館	家族連れ	若年層	中部	400～700万円未満	254	家族連れ	中年層	中部	400～700万円未満	170	2人組	若年層	中部	400万円未満	151	"1. 評価ポイント・改善ポイント  
施設へのポジティブなフィードバックが多く、特にジンベイザメやイルカショー、多様な展示が高く評価されているにゃ。回復した姿に対する感謝と感動の声が多く、ブランディングにプラスに働く可能性があるにゃ。  
改善ポイントとしては、飲食施設の多様性やトイレの位置、移動のしやすさを改良することが求められているにゃ。  

2. 即応策  
短期（2〜4週間以内）  
- 来場客へのトイレ案内をわかりやすくするための看板を設置するにゃ。  
- 駐車場から施設入り口までの案内を充実させ、特に高齢者や家族連れに配慮した情報を提供するにゃ。  

中期（半年以内）  
- 飲食施設のメニューを見直して、地元の特色を生かした料理やバリエーションを増やすにゃ。  
- ベビーカー利用者や高齢者向けにエレベーターやスロープの整備を推進するにゃ。  

3. 期待効果  
改善策により、施設利用者の満足度が向上し、再訪率の向上が期待できるにゃ。また、SNSでの評価も上がることで、新規来場者獲得につながる可能性があるにゃ。  

4. SNS発信用キャッチコピー例  
家族連れ・若年層：  
「家族との思い出を、水族館で特別な瞬間に変えよう！」  
家族連れ・中年層：  
「再生の物語を共に知り、共に楽しむ、あなただけの海の冒険！」  
2人組・若年層：  
「友達と一緒に、感動の水族館体験を共有しよう！」  

5. 追加の収益施策アイデア  
- お土産やドリンクの購入時に使えるクーポンや、年パス会員対象の特別イベントを企画し、来場促進と同時にリピーターを増やすにゃ。  
- 地域の特産品を利用した食イベントや、水族館での魚介体験教室を開催して、参加費を収益につなげる施策にゃ。"
のとや	2人組	中年層	中部	400～700万円未満	5	2人組	高齢層	中部	400万円未満	5	2人組	若年層	中部	400～700万円未満	4	"1. 評価ポイント・改善ポイント  
美味しい食事ややさしいスタッフの対応が高く評価されており、リピート客を獲得する大きな要因となっています。しかし、建物設備の老朽化や虫の侵入が問題となっており、これを改善する必要があるにゃ。

2. 即応策  
（短期） 1. 網戸の修理や新設を行い、虫の侵入を防止する。 2. 建物の清掃を強化し、目立つ場所を先に改善する。 3. 食事のことで感謝の声が多いので、メニューリーフレットを作成し、料理の特徴やシェフの紹介をするにゃ。  
（中期） 1. 建物の内装や外装のリフォームプランを作成し、計画的に見直す。 2. スタッフの接遇トレーニングを実施し、より高いホスピタリティを目指す。 3. お料理教室や食べ歩きイベントなどの開催を企画し、集客を図るにゃ。

3. 期待効果  
満足度の向上により再訪率が高まり、特に虫の問題が解決されることで高齢層のお客様が安心して訪れやすくなるにゃ。また、食事のメニュー改善が相まって口コミでの宣伝効果も期待できるにゃ。

4. SNS発信用キャッチコピー例  
ペルソナ名称1（高齢層2人組）：安心して楽しめる、癒しの時間をあなたに。  
ペルソナ名称2（中年層2人組）：心安らぐ美味しい食事で、特別なひとときを。  
ペルソナ名称3（若年層2人組）：Instagram映え間違いなし！美食と美景を満喫しよう。

5. 追加の収益施策アイデア  
1. 地元の特産品を使用したバイキングコースや限定メニューを設け、販売促進を図るにゃ。  
2. 季節ごとのテーマイベント（例：紅葉狩りツアー、クリスマスフェア）を開催し、参加費を設定して収益を上げるにゃ。  
3. 料理教室を企画し、参加費を徴収することで新たな客層を獲得するにゃ。"
のと海洋ふれあいセンター	家族連れ	中年層	中部	400～700万円未満	3	家族連れ	若年層	中部	400～700万円未満	3	2人組	中年層	中部	400～700万円未満	2	
のと里山海道　西山パーキング	2人組	中年層	中部	1,000万円以上	2	2人組	若年層	中部	1,000万円以上	1	ひとり	中年層	中部	1,000万円以上	1	
のと里山空港	2人組	中年層	関東	1,000万円以上	7	2人組	若年層	関東	700～1,000万円未満	4	ひとり	中年層	関東	1,000万円以上	3	"1. 評価ポイント・改善ポイント  
羽生結弦選手と大相撲のパネルがあり、観光施設としての魅力がありますね。また、多様な客層のニーズに応えられる点が評価されます。ただ、情報提供や体験の多様性が不足しているため、より多くの訪問者を引きつける策が必要にゃ。

2. 即応策  
短期（2〜4週間以内）：
- パネルの情報を整理したパンフレットを作成し、来場者に配布するにゃ。 
- SNSを利用して、羽生選手や大相撲に関するクイズやフォトコンテストを開催し、参加を促すにゃ。

中期（半年以内）：
- 羽生選手や大相撲をテーマにした特別イベントを企画し、定期的に新しい体験を提供するにゃ。
- 地元食材を活用したカフェメニューを開発し、観光客や地元民にアピールするにゃ。

3. 期待効果  
認知度の向上や訪問者数の増加が期待でき、満足度が高まることで再訪率も向上するにゃ。また、SNSでの拡散効果も大きく、新たな集客につながることが期待できるにゃ。

4. SNS発信用キャッチコピー例  
ペルソナ名称1（中年層2人組）：一緒に特別な瞬間を感じよう！  
ペルソナ名称2（高齢層ひとり）：思い出のパネルとともに、心に残るひとときを。  
ペルソナ名称3（若年層2人組）：友達と一緒に楽しむ、素敵なひととき！

5. 追加の収益施策アイデア  
- パネルと連動したオリジナルグッズの販売を開始し、ファンにアプローチするにゃ。  
- ワークショップや体験型イベントを実施し、参加費用を収益に転換するにゃ。"
のと鉄道 POKÉMON with YOUトレイン	2人組	若年層	近畿	400～700万円未満	5	家族連れ	若年層	中部	400～700万円未満	4	ひとり	中年層	中部	400～700万円未満	3	
のと鉄道（通常）	ひとり	中年層	関東	400～700万円未満	17	ひとり	若年層	関東	400万円未満	16	友人	若年層	中部	400～700万円未満	6	
ひがし茶屋休憩館	2人組	若年層	関東	400～700万円未満	8	2人組	中年層	関東	400～700万円未満	7	2人組	高齢層	関東	400万円未満	3	"1. 評価ポイント・改善ポイント  
金箔のアクセサリーや美味しいおでんなどの食体験が好評で、特に加工品のリーズナブルさが支持されていますにゃ。また、金沢の町家体験や休憩所の雰囲気も高評価。しかし、トイレの清潔感や案内表示の整備が改善の余地ありにゃ。

2. 即応策（低コストでできる具体的な行動）  
短期：トイレの清掃頻度を増やし、清潔感を向上させるにゃ。案内表示を増やして迷わないよう工夫するにゃ。  
中期：町家体験の運営を見直し、参加者の体験感を向上させるための職員研修を行うにゃ。

3. 期待効果  
トイレの清潔感が向上すれば、来館者の満足度が上がり、再訪率が向上するにゃ。また、案内表示が明確になれば、迷いが減り、口コミでも評価されることが期待できるにゃ。町家体験の質が向上すれば、長期的なリピーターを獲得しやすくなるにゃ。

4. SNS発信用キャッチコピー例  
若年層：友達と一緒に金沢の魅力を発見！金箔アクセサリーで特別な思い出を作ろう！  
中年層（1,000万円以上）：上質な体験がここに。特別な友人とのひとときを楽しむ金沢の旅。  
中年層（友人）：大切な友人と一緒に、金沢の美味と文化を満喫！今だけの特別体験を見逃すな！

5. 追加の収益施策アイデア  
金箔を使用したワークショップを定期的に開催し、参加費を設定することで新たな収益源にするにゃ。また、石川県の食材を使用した料理教室を企画し、地元の食文化の魅力を伝えながら収益を上げるにゃ。"
ひょっこり温泉 島の湯	2人組	中年層	中部	400～700万円未満	3	2人組	高齢層	関東	400～700万円未満	2	2人組	若年層	中部	1,000万円以上	1	
ふれあい昆虫館	家族連れ	若年層	中部	400～700万円未満	85	家族連れ	中年層	中部	400～700万円未満	57	2人組	若年層	中部	400万円未満	11	"1. 評価ポイント・改善ポイント
昆虫館の裏側ツアーは非常に好評で、多くの利用者が楽しんでいます。また、キッズスペースにもおもちゃがあり、子供連れの家族にとって魅力的な環境が整っています。一方で、お菓子や飲み物の提供が求められており、訪問者の満足度をさらに高める改善が必要ですにゃ。

2. 即応策
【短期】お菓子や飲み物の自動販売機を設置し、軽食を手軽に購入できる環境を整えるにゃ。
【中期】昆虫館の裏側ツアーに関連した特別イベントやワークショップを企画し、参加者に新たな体験を提供するにゃ。

3. 期待効果
お菓子や飲み物の提供により、来館者の満足度が向上し、再訪率が高まることが期待されます。また、新しいイベントを通じて興味を引き、リピーターの増加につながるにゃ。

4. SNS発信用キャッチコピー例
家族連れ向け：『自然の不思議を家族みんなで体験しよう！昆虫の世界に飛び込もう。』
若年層向け（2人組）：『友達と一緒に、見たことのない生き物たちと会おう！新たな発見が待っている。』

5. 追加の収益施策アイデア
昆虫館オリジナルのグッズ販売を充実させる。例えば、昆虫モチーフのぬいぐるみやお土産品を展開し、訪問者に記念品を提供することで収益を増やすことができるにゃ。"
ゆのくに天祥	2人組	中年層	関東	1,000万円以上	14	2人組	若年層	関東	1,000万円以上	14	2人組	高齢層	近畿	400～700万円未満	10	"1. 評価ポイント・改善ポイント  
温泉の充実度や食事の美味しさが特に好評で、無料サービスが豊富な点が高評価です。しかし、食事の進行や担当者の接客に関する不満が見られるため、改善が必要ですにゃ。

2. 即応策  
- 短期（2〜4週間以内）：食事の際のタイミングを見直し、大皿料理の取り分け方法を考える。例えば、サーブ後すぐに小皿に分けられるように用意するにゃ。  
- 中期（半年以内）：スタッフ接客の研修を実施し、顧客の声に対する対応力を高めるにゃ。  

3. 期待効果  
顧客満足度を向上させ、再訪率を高める。特にファミリー層では食事の体験を重視するため、口コミの改善が期待できるにゃ。

4. SNS発信用キャッチコピー例  
- 若年層2人組向け：友だちと過ごす特別な温泉体験！  
- 家族連れ向け：大切な家族との思い出を温泉で作ろう！  
- 中年層2人組向け：落ち着いた空間で心身をリフレッシュするひとときを。  

5. 追加の収益施策アイデア  
- 温泉卵作り体験を他の手作り体験メニューと組み合わせたパッケージセールを提供。特に家族やカップル向けの販売が期待できるにゃ。  
- 季節ごとの特別料理やイベントを通じた食事プランの強化を行うことで、リピーターを増やす施策に取り組むにゃ。  
- エステやマッサージサービスの追加により付加価値をつけ、長時間の滞在を促す戦略が有効にゃ。"
アパホテル〈金沢駅前〉	ひとり	中年層	中部	400～700万円未満	2	ひとり	若年層	関東	400万円未満	2	2人組	中年層	中部	400万円未満	1	
ウェルネスハウスSARAI	2人組	中年層	中部	400万円未満	3	2人組	若年層	中部	400万円未満	3	友人	中年層	東北	1,000万円以上	2	
ガーデンホテル金沢	2人組	若年層	関東	700～1,000万円未満	5	ひとり	中年層	関東	400～700万円未満	4	ひとり	若年層	関東	400～700万円未満	4	
