エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
金沢エリア	石川県政記念しいのき迎賓館	2026/01/08	同意する	4泊以上	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	フェリー、山口、兵庫、福井	自分ひとり	地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, まちあるき、都市散策, スタンプラリー	自家用車	折りたたみ自転車			20,000円以上 30,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	2～5回目	インターネット・アプリ, X(旧：Twitter)	選択なし/該当施設なし	県立図書館	のとじま水族館		使わない	満足	全般的に清掃が行き届いていた	満足	クリスマスの飾り付けがあり、季節感を感じられた	感じなかった		7	金沢城横という好立地を活かし、イベント等をもう少し企画・誘致してはどうかと感じた。	また行きたい（1年以内）	○飲食に際し、「石川県産」とそうでないものの区別がつきづらいため、県産ブランドを強調するロゴ等があればわかりやすいと感じた。　○引き続きラブライブコラボを定期的に実施して頂きたい	男	1991	静岡県	御殿場市	600万円以上 700万円未満	ひゃくまんさんが好き, なんとなく	とても満足	9	県立歴史博物館が旧軍の施設であったと知り、周辺の他施設と併せて、状態の良い戦跡・遺構として探索するのも面白そうだと感じた。
金沢エリア	ANAホリディ・イン金沢スカイ	2026/01/02	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車			5,000円以上 10,000円未満	3,000円以上 5,000円未満	5,000円以上 10,000円未満	初めて	友人・知人	選択なし/該当施設なし	朝の川温泉	近江町市場		1,000円未満	満足	ラウンジでのドリンクサービスがよかった。	満足	近江市場に近く駐車場が使えたのが便利だった。朝ごはん付きのプランでの予約だったが昼ごはんに変更していただけて助かった。	感じなかった		7		機会があれば行きたい	海鮮がおいしくて、また来たいと思いました。	女	1999	岐阜県	可児市	1,000万円以上 1,200万円未満	なんとなく	満足	8	食べ物がおいしい
金沢エリア	金沢駅	2026/01/02	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる, 友人・親戚を訪ねる	バス	自家用車, タクシー	とても満足	運転手がたくさん話してくださった。	使わない	10,000円以上 20,000円未満	5,000円以上 10,000円未満	11回目以上	タクシードライバーや地元の人	金沢21世紀美術館		選択なし/該当施設なし		3,000円以上 5,000円未満	とても満足	おいしい	とても満足	いろんなものがある	感じなかった		10		また行きたい（1年以内）	特になし	女	2009	兵庫県	西宮市	100万円以上 200万円未満	景品が当たる, なんとなく	とても満足	10	雪が降らない地域にとって雪が新鮮
金沢エリア	金沢国際ホテル	2026/01/02	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	2～5回目	観光展・物産展	尾山神社		近江町市場		5,000円以上 10,000円未満	とても満足		とても満足	夕食が美味しかった	感じなかった		5		また行きたい（1年以内）	食の新鮮さ	女	1956	愛知県	春日井市	400万円以上 500万円未満	石川県のおすすめ観光スポットが見たい	とても満足	10	
金沢エリア	金沢国際ホテル	2026/01/02	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	友人・親戚を訪ねる	自家用車	自家用車			10,000円以上 20,000円未満	3,000円以上 5,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	金沢駅	選択なし/該当施設なし		1,000円未満	満足	料金がリーズナブルで、スタッフの方々のサービスはとても良かったです。	満足	少し設備が古い感じがしました。	感じなかった		8		また行きたい（1年以内）	地元の食材を活かしたメニューを楽しみたいです。	女	1973	新潟県	燕市	600万円以上 700万円未満	景品が当たる	満足	8	金沢駅の雰囲気が良かったです。
金沢エリア	金沢国際ホテル	2026/01/02	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	友人・親戚を訪ねる	自家用車	自家用車			40,000円以上 50,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし/該当施設なし		40,000円以上 50,000円未満	どちらでもない		どちらでもない		感じた	エレベーターの開閉が早く、子供が挟まりかけた	5		また行きたい（1年以内）	特になし	男	1993	滋賀県	近江八幡市	500万円以上 600万円未満	景品が当たる	満足	8	海鮮が美味しい
金沢エリア	金沢国際ホテル	2026/01/02	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	友人・親戚を訪ねる	レンタカー, 飛行機	レンタカー	満足	スムーズについたから	10,000円以上 20,000円未満	50,000円以上 100,000円未満	30,000円以上 40,000円未満	11回目以上	友人・知人	兼六園		兼六園		使わない	どちらでもない	特にない	どちらでもない	特にない	感じた	園内が、わかりづらい	5		どちらともいえない	宿泊税が不満	男	1968	東京都	葛飾区	1,000万円以上 1,200万円未満	なんとなく	どちらでもない	5	
金沢エリア	金沢国際ホテル	2026/01/02	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親戚	宿でのんびり過ごす, 地元の美味しいものを食べる	県外から訪れていない（石川県内在住）	自家用車			10,000円以上 20,000円未満	1,000円未満	5,000円以上 10,000円未満	2～5回目	友人・知人	選択なし/該当施設なし		選択なし/該当施設なし		10,000円以上 20,000円未満	とても満足		とても満足	スタッフのみなさん、お料理	感じなかった		10	金沢らしくて良いです	石川県在住	品の良さと金の華やかさ	女	1974	石川県	金沢市	800万円以上 900万円未満	景品が当たる, 石川県の雑学を知りたい	とても満足	10	人と料理
金沢エリア	西茶屋資料館	2026/01/02	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	名所、旧跡の観光, まちあるき、都市散策	レンタカー	レンタカー, 徒歩			40,000円以上 50,000円未満	1,000円以上 3,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	主計町茶屋街	選択なし/該当施設なし	東尋坊	使わない	どちらでもない	商品は別に売ってるわけではないから	とても満足	とても分かりやすい展示でした	感じなかった		5		また行きたい（1年以内）	特になし	男	2004	愛知県	名古屋市	300万円以上 400万円未満	景品が当たる, ひゃくまんさんが好き, なんとなく	とても満足	10	兼六園　日本三名園ってだけあってすごい綺麗な景色でした
金沢エリア	兼六園	2026/01/02	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, お祭りやイベントへの参加・見物, 観光ガイド2日間利用・一番良いコースを堪能	飛行機, 小松空港からリムジンバス	タクシー, 路線バス	満足	年末年始、無料開放で嬉しい　又、兼六亭を前日予約して再度ゆっくり出向き、	10,000円以上 20,000円未満	40,000円以上 50,000円未満	50,000円以上 100,000円未満	初めて	新聞・雑誌・ガイドブック, 観光連盟やDMOのHP, インターネット・アプリ, ブログ, 有料の個人観光ガイド、note	兼六園	市場、複数の芸妓の街、神社仏閣を多数、金沢城	金沢21世紀美術館	一般的に知られていない、歴史・文化・窯元・工房など	使わない	満足	兼六亭（冬景色を窓枠をフレームにして日本画のようだった）	満足	無料開放、ありがとうございます。2回連続で来訪しました。	感じなかった		8	今のままで素敵です。	機会があれば行きたい	今のままで十分	女	1970	千葉県	市川市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	満足	8	近江町市場・芸妓の街など　歴史を知ってから行くとより楽しかったから
