施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
金沢城公園,648,27,25,0.08,5,12,4.498161765,4.148148148,4.441226576,4.037037037,4.603485839,4.074074074,8.459876543,362,81,0.4336419753,14,5,0.3333333333,0.01080246914,0.1435185185,0.162037037,0.1959876543,0.2669753086,0.1635802469,0.05709876543,0,0,0,0.3935185185,0.5925925926,0.3641975309,0.3317901235,0.0725308642,0.08950617284,0.1419753086,0.2145061728,0.08950617284,0.1435185185,0.2469135802,0.007716049383,0.001543209877,0.08487654321,0.01543209877,0.08024691358,0.0200617284,0.001543209877,0,0.1466049383,0.1682098765,0.6234567901,0.1481481481,0,0,0,0.07098765432,0,0,0,0,0,0,0.02932098765,0,0.04320987654,0.06327160494,0.05864197531,0.08796296296,0.1234567901,0.1435185185,0.1141975309,0.07407407407,0.08179012346,0.04320987654,0.06327160494,0.06327160494,0.03086419753,0.0524691358,0.01851851852,0.003086419753,0.003086419753,0.007716049383,0.001543209877,0.006172839506,0.006172839506,0.01851851852,0.02160493827,0.01543209877,0.06018518519,0.0725308642,0.1589506173,0.07407407407,0.01697530864,0.02932098765,0.07407407407,0.01234567901,0.007716049383,0.01543209877,0.02160493827,0.03240740741,0.08796296296,0.01234567901,0.01234567901,0.02932098765,0.07561728395,0.04938271605,0.007716049383,0.001543209877,0.001543209877,0,0.00462962963,0.003086419753,0.001543209877,0.001543209877,0.001543209877,0.00462962963,0,0.01234567901,0.003086419753,0,0,0.006172839506,0,0,0.006172839506
兼六園,160,16,22,-0.2727272727,25,19,4.514492754,3.9375,4.539473684,4.5625,4.659090909,4.6875,8.6125,92,18,0.4625,10,0,0.625,0.0125,0.175,0.225,0.175,0.20625,0.1875,0.01875,0,0,0,0.275,0.70625,0.41875,0.35625,0.0875,0.05625,0.08125,0.09375,0.13125,0.1625,0.31875,0.00625,0,0.11875,0.01875,0.03125,0.01875,0,0,0.1125,0.1875,0.68125,0.2125,0,0,0,0.0375,0,0,0,0,0,0,0.025,0,0.0375,0.03125,0.05625,0.11875,0.125,0.075,0.1375,0.10625,0.05625,0.05625,0.06875,0.0875,0.05,0.03125,0.01875,0,0.01875,0.0125,0.00625,0,0,0.00625,0.01875,0.0125,0.06875,0.1,0.21875,0.10625,0.0125,0.025,0.05,0,0.0125,0.01875,0.0125,0.0125,0.06875,0.0125,0.00625,0.025,0.05625,0.00625,0.00625,0.00625,0,0.00625,0,0.01875,0,0.00625,0,0,0,0.01875,0,0.00625,0,0.0125,0.00625,0,0.00625
金沢駅,433,38,34,0.1176470588,10,7,4.465648855,4.026315789,4.418719212,4.105263158,4.638157895,4.631578947,8.630484988,246,37,0.4826789838,28,3,0.6578947368,0.0207852194,0.1478060046,0.2101616628,0.2170900693,0.2217090069,0.1662817552,0.01385681293,0,0.002309468822,0,0.3464203233,0.6327944573,0.4018475751,0.3256351039,0.09699769053,0.08545034642,0.09006928406,0.247113164,0.07852193995,0.1085450346,0.2494226328,0.009237875289,0.002309468822,0.1131639723,0.0415704388,0.04387990762,0.006928406467,0,0.004618937644,0.1616628176,0.1478060046,0.6651270208,0.06466512702,0,0,0,0.06928406467,0,0,0,0,0,0,0.01154734411,0,0.08545034642,0.05542725173,0.04618937644,0.06928406467,0.103926097,0.1177829099,0.1316397229,0.09468822171,0.06928406467,0.06466512702,0.05080831409,0.08545034642,0.06004618938,0.05080831409,0.004618937644,0,0.009237875289,0.009237875289,0,0.009237875289,0.006928406467,0.02309468822,0.004618937644,0.01847575058,0.0623556582,0.0415704388,0.207852194,0.09237875289,0.006928406467,0.02309468822,0.03002309469,0.006928406467,0.004618937644,0.03464203233,0.01154734411,0.01154734411,0.06004618938,0.009237875289,0.009237875289,0.02771362587,0.1154734411,0.04618937644,0.01616628176,0.006928406467,0,0,0.01154734411,0.03464203233,0.004618937644,0.009237875289,0.002309468822,0,0,0.01616628176,0.002309468822,0.002309468822,0.002309468822,0,0,0.002309468822,0.002309468822
金沢中央観光案内所,1046,50,41,0.2195121951,3,4,4.383431953,3.76,4.40399556,4.18,4.564343164,4.42,8.094646272,471,193,0.2657743786,16,6,0.2,0.02103250478,0.1653919694,0.2007648184,0.1854684512,0.2380497132,0.15583174,0.03346080306,0,0,0,0.3355640535,0.6300191205,0.34416826,0.3346080306,0.1089866157,0.1166347992,0.09560229446,0.1978967495,0.1070745698,0.1367112811,0.2543021033,0.005736137667,0.0009560229446,0.1166347992,0.01434034417,0.06309751434,0.01338432122,0.0009560229446,0,0.1768642447,0.1300191205,0.6606118547,0.09847036329,0,0,0,0.06500956023,0,0,0,0,0,0,0.01051625239,0,0.03728489484,0.06883365201,0.03346080306,0.06787762906,0.1338432122,0.120458891,0.1089866157,0.09464627151,0.05831739962,0.05544933078,0.06405353728,0.09273422562,0.03537284895,0.06596558317,0.01051625239,0.004780114723,0.008604206501,0.01338432122,0.001912045889,0.006692160612,0.003824091778,0.02294455067,0.01338432122,0.01147227533,0.05640535373,0.04684512428,0.2284894837,0.08986615679,0.009560229446,0.0258126195,0.04684512428,0.009560229446,0.001912045889,0.006692160612,0.01529636711,0.02676864245,0.06118546845,0.009560229446,0.007648183556,0.03728489484,0.09177820268,0.04206500956,0.01625239006,0.007648183556,0.001912045889,0.001912045889,0.005736137667,0.004780114723,0.003824091778,0.0009560229446,0.003824091778,0.002868068834,0.001912045889,0.01529636711,0.001912045889,0.001912045889,0.005736137667,0.002868068834,0.001912045889,0.002868068834,0.004780114723
長町武家屋敷休憩館,101,4,7,-0.4285714286,38,44,4.441860465,4.75,4.467391304,4.75,4.625,5,8.366336634,53,15,0.3762376238,2,1,0.25,0.0297029703,0.1287128713,0.1782178218,0.2277227723,0.1683168317,0.198019802,0.06930693069,0,0,0,0.396039604,0.5940594059,0.3168316832,0.3168316832,0.198019802,0.09900990099,0.06930693069,0.1188118812,0.1287128713,0.09900990099,0.396039604,0,0,0.1089108911,0.0198019802,0.0495049505,0,0,0,0.198019802,0.2178217822,0.6336633663,0.1089108911,0,0,0,0.009900990099,0,0,0,0,0,0,0,0,0.0198019802,0.05940594059,0.0297029703,0.06930693069,0.1089108911,0.09900990099,0.1287128713,0.1089108911,0.0495049505,0.05940594059,0.08910891089,0.08910891089,0.05940594059,0.0495049505,0.0396039604,0.0198019802,0,0,0,0,0,0,0.009900990099,0.06930693069,0.0495049505,0.1089108911,0.2079207921,0.09900990099,0.0198019802,0.0198019802,0.0396039604,0,0,0.009900990099,0.0297029703,0.0198019802,0.08910891089,0,0,0.0198019802,0.0396039604,0.0396039604,0.0297029703,0,0.009900990099,0,0,0.009900990099,0,0,0,0,0,0.009900990099,0.009900990099,0,0,0,0,0,0
西茶屋資料館,75,5,2,1.5,50,42,4.396825397,3.4,4.417910448,4.2,4.577777778,4.8,7.226666667,21,23,-0.02666666667,2,1,0.2,0.01333333333,0.12,0.2666666667,0.12,0.3066666667,0.1733333333,0,0,0,0,0.3466666667,0.6,0.2666666667,0.48,0.12,0.05333333333,0.08,0.1466666667,0.06666666667,0.1066666667,0.4266666667,0,0,0.1066666667,0.01333333333,0.04,0.04,0,0,0.1866666667,0.1466666667,0.7066666667,0.06666666667,0,0,0,0.01333333333,0,0,0,0,0,0,0.01333333333,0,0.01333333333,0.02666666667,0.02666666667,0.1066666667,0.05333333333,0.1066666667,0.1333333333,0.05333333333,0.05333333333,0.02666666667,0.09333333333,0.1733333333,0.08,0.06666666667,0,0,0,0,0,0.01333333333,0,0,0.04,0,0.1066666667,0.09333333333,0.28,0.09333333333,0.04,0.01333333333,0.01333333333,0.02666666667,0.01333333333,0.01333333333,0,0,0.04,0,0.02666666667,0.04,0.05333333333,0.05333333333,0.01333333333,0,0,0,0.01333333333,0,0,0,0,0,0,0,0,0,0.01333333333,0,0,0,0
ひがし茶屋休憩館,113,10,7,0.4285714286,34,26,4.580952381,4.7,4.587155963,4.6,4.703703704,4.6,8.539823009,63,10,0.4690265487,4,1,0.3,0.008849557522,0.2477876106,0.1681415929,0.203539823,0.2654867257,0.09734513274,0.008849557522,0,0,0,0.3274336283,0.6725663717,0.3097345133,0.4159292035,0.06194690265,0.1150442478,0.09734513274,0.1415929204,0.1061946903,0.1769911504,0.2566371681,0.008849557522,0,0.1327433628,0,0.05309734513,0.008849557522,0,0,0.2566371681,0.1946902655,0.7699115044,0.1150442478,0,0,0,0.008849557522,0,0,0,0,0,0,0.008849557522,0,0.01769911504,0.08849557522,0.02654867257,0.09734513274,0.1061946903,0.1681415929,0.06194690265,0.09734513274,0.0796460177,0.02654867257,0.0796460177,0.07079646018,0.03539823009,0.06194690265,0.02654867257,0,0,0.008849557522,0,0.008849557522,0,0.02654867257,0,0.008849557522,0.04424778761,0.05309734513,0.2123893805,0.1327433628,0.02654867257,0.008849557522,0.01769911504,0.01769911504,0.008849557522,0.01769911504,0.01769911504,0.02654867257,0.0796460177,0,0.008849557522,0.02654867257,0.09734513274,0.008849557522,0.008849557522,0,0,0,0.008849557522,0.04424778761,0,0,0,0,0,0.02654867257,0,0.01769911504,0,0,0,0,0.008849557522
石川県政記念しいのき迎賓館,133,17,11,0.5454545455,29,17,4.442477876,4,4.456,4.235294118,4.610526316,4.588235294,8.015037594,58,23,0.2631578947,6,4,0.1176470588,0,0.1503759398,0.1954887218,0.2105263158,0.2556390977,0.1654135338,0.02255639098,0,0,0,0.3834586466,0.6015037594,0.2857142857,0.2406015038,0.0977443609,0.1578947368,0.2180451128,0.1954887218,0.1127819549,0.1804511278,0.2330827068,0,0,0.06766917293,0.02255639098,0.1052631579,0,0,0,0.1729323308,0.1879699248,0.5939849624,0.1203007519,0,0,0,0.1804511278,0,0,0,0,0,0,0.03007518797,0,0.06766917293,0.04511278195,0.04511278195,0.06766917293,0.1127819549,0.08270676692,0.1353383459,0.1127819549,0.07518796992,0.05263157895,0.07518796992,0.07518796992,0.03759398496,0.08270676692,0.007518796992,0,0,0,0.007518796992,0,0,0.01503759398,0,0.02255639098,0.06015037594,0.02255639098,0.1578947368,0.07518796992,0.01503759398,0.06766917293,0.2180451128,0.007518796992,0,0,0,0.007518796992,0.06015037594,0.007518796992,0,0.06015037594,0.09022556391,0.01503759398,0.007518796992,0,0,0,0.02255639098,0.007518796992,0,0,0.007518796992,0,0,0.01503759398,0.007518796992,0,0,0.01503759398,0,0,0
石川県立図書館,1012,18,22,-0.1818181818,4,16,4.648026316,4.166666667,4.7027897,4.388888889,4.607700312,4.444444444,8.645256917,636,115,0.5148221344,11,1,0.5555555556,0.03063241107,0.1996047431,0.1640316206,0.1897233202,0.2312252964,0.145256917,0.03063241107,0.006916996047,0.0009881422925,0.0009881422925,0.3685770751,0.6037549407,0.2776679842,0.2588932806,0.1017786561,0.1245059289,0.2371541502,0.1976284585,0.07411067194,0.1432806324,0.1758893281,0.008893280632,0,0.1067193676,0.01086956522,0.1245059289,0.04940711462,0,0,0.1581027668,0.1156126482,0.4644268775,0.0256916996,0,0,0,0.0652173913,0,0,0,0,0,0,0.03162055336,0,0.0395256917,0.06422924901,0.03754940711,0.06422924901,0.1057312253,0.1136363636,0.1363636364,0.08596837945,0.06818181818,0.08399209486,0.05434782609,0.08695652174,0.04841897233,0.05039525692,0.02173913043,0.001976284585,0.0009881422925,0.005928853755,0.0009881422925,0,0.005928853755,0.009881422925,0.009881422925,0.00790513834,0.05335968379,0.02964426877,0.1561264822,0.08794466403,0.01877470356,0.06422924901,0.1818181818,0.02371541502,0.0009881422925,0.02371541502,0.02173913043,0.02371541502,0.05632411067,0.01185770751,0.01086956522,0.02173913043,0.06126482213,0.03359683794,0.004940711462,0.001976284585,0,0.00395256917,0.004940711462,0.008893280632,0,0.0009881422925,0.0009881422925,0.001976284585,0,0.008893280632,0.005928853755,0.00395256917,0.0009881422925,0.002964426877,0,0.001976284585,0
石川県立歴史博物館,516,36,41,-0.1219512195,7,8,4.493644068,4.444444444,4.556016598,4.555555556,4.581395349,4.583333333,8.25,246,80,0.3217054264,22,6,0.4444444444,0.02325581395,0.2034883721,0.1744186047,0.1569767442,0.2131782946,0.1724806202,0.0523255814,0.003875968992,0,0,0.4418604651,0.5387596899,0.3275193798,0.3236434109,0.09302325581,0.09496124031,0.1608527132,0.2674418605,0.1007751938,0.1240310078,0.269379845,0.005813953488,0,0.08914728682,0.01937984496,0.03294573643,0.001937984496,0,0,0.1511627907,0.1201550388,0.5251937984,0.1085271318,0,0,0,0.0523255814,0,0,0,0,0,0,0.02131782946,0,0.05426356589,0.0523255814,0.05620155039,0.07558139535,0.1162790698,0.1375968992,0.1104651163,0.06589147287,0.0523255814,0.0523255814,0.06395348837,0.08139534884,0.04457364341,0.09108527132,0.01550387597,0.001937984496,0.003875968992,0.005813953488,0.005813953488,0.003875968992,0.003875968992,0.01937984496,0.009689922481,0.01744186047,0.0503875969,0.05620155039,0.1937984496,0.09302325581,0.009689922481,0.03682170543,0.1046511628,0.009689922481,0.007751937984,0.02325581395,0.01356589147,0.02519379845,0.07170542636,0.01356589147,0.01744186047,0.02906976744,0.07558139535,0.02906976744,0.01162790698,0.003875968992,0,0,0.005813953488,0.007751937984,0,0,0.009689922481,0.001937984496,0,0.005813953488,0,0,0,0,0,0,0.005813953488
