日付,TIF,移動元,移動先,回答数
2026-01-01,石川,のとじま水族館,ひょっこり温泉,1
2026-01-01,石川,兼六園,小松空港,1
2026-01-01,石川,金沢駅,のと鉄道（通常）,1
2026-01-01,福井,一乗谷朝倉氏遺跡,大本山 永平寺 エリア,1
2026-01-01,福井,一乗谷朝倉氏遺跡,福井駅前 エリア,1
2026-01-01,福井,三国サンセットビーチ,三国湊 エリア,1
2026-01-01,福井,三国湊 エリア,三国サンセットビーチ,1
2026-01-01,福井,丸岡城,丸岡城 エリア,1
2026-01-01,福井,丸岡城,大本山 永平寺 エリア,1
2026-01-01,福井,丸岡城 エリア,北の庄城址・柴田公園,1
2026-01-01,福井,北の庄城址・柴田公園,三国湊 エリア,2
2026-01-01,福井,大本山 永平寺 エリア,一乗谷朝倉氏遺跡,1
2026-01-01,福井,大本山 永平寺 エリア,敦賀赤レンガ倉庫,1
2026-01-01,福井,大本山 永平寺 エリア,氣比神宮,1
2026-01-01,福井,大本山 永平寺 エリア,越前大野城,1
2026-01-01,福井,敦賀赤レンガ倉庫,大本山 永平寺 エリア,1
2026-01-01,福井,東尋坊,越前松島水族館 エリア,1
2026-01-01,福井,氣比神宮,大本山 永平寺 エリア,1
2026-01-01,福井,福井駅前 エリア,氣比神宮,1
2026-01-01,福井,越前大野城,大本山 永平寺 エリア,2
2026-01-02,石川,のとじま水族館,TAOYA和倉,1
2026-01-02,石川,のとじま水族館,ひょっこり温泉,1
2026-01-02,石川,のと鉄道（通常）,兼六園,1
2026-01-02,石川,兼六園,ゆのくに天祥,1
2026-01-02,石川,氣多大社,のと鉄道（通常）,1
2026-01-02,石川,道の駅千里浜,のとじま水族館,1
2026-01-02,石川,金沢城,ゆのくに天祥,1
2026-01-02,福井,かつやま恐竜の森 エリア,あわら温泉屋台村「湯けむり横丁」,1
2026-01-02,福井,かつやま恐竜の森 エリア,一乗谷朝倉氏遺跡,1
2026-01-02,福井,かつやま恐竜の森 エリア,今庄宿,1
2026-01-02,福井,かつやま恐竜の森 エリア,岡太神社・大瀧神社,2
2026-01-02,福井,かつやま恐竜の森 エリア,越前和紙の里,1
2026-01-02,福井,かつやま恐竜の森 エリア,越前大仏,2
2026-01-02,福井,かつやま恐竜の森 エリア,越前大野城,1
2026-01-02,福井,めがねミュージアム,福井駅前 エリア,1
2026-01-02,福井,丸岡城,かつやま恐竜の森 エリア,1
2026-01-02,福井,大本山 永平寺 エリア,北の庄城址・柴田公園,1
2026-01-02,福井,大本山 永平寺 エリア,福井県立恐竜博物館,1
2026-01-02,福井,大本山永平寺,大本山 永平寺 エリア,1
2026-01-02,福井,岡太神社・大瀧神社,かつやま恐竜の森 エリア,1
2026-01-02,福井,東尋坊,福井駅前 エリア（宿泊施設）,1
2026-01-02,福井,氣比神宮,かつやま恐竜の森 エリア,1
2026-01-02,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-02,福井,福井駅前 エリア（宿泊施設）,大本山永平寺,1
2026-01-02,福井,竹田エリア,福井県立恐竜博物館,1
2026-01-02,福井,竹田水車メロディパーク,竹田エリア,1
2026-01-02,福井,越前大仏,かつやま恐竜の森 エリア,1
2026-01-02,福井,越前大仏,大本山 永平寺 エリア,1
2026-01-03,石川,のとじま水族館,ひょっこり温泉,1
2026-01-03,石川,のと鉄道（通常）,金沢城,1
2026-01-03,石川,のと鉄道（通常）,金沢駅,1
2026-01-03,石川,ポイントバケーション加賀山中,恐竜博物館,1
2026-01-03,石川,兼六園,ポイントバケーション加賀山中,1
2026-01-03,石川,山中温泉,ポイントバケーション加賀山中,1
