TIF,回答場所,回答数,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,男,女,その他,無回答,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,日帰り,1泊,2泊,3泊,4泊以上,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,満足度（旅行全体）,推奨者,非推奨者,NPS,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",分からない/無回答,1: 300万円未満,5: 2000万円以上,3: 600?1000万円,2: 300?599万円,4: 1000?2000万円,6: 無回答,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援
福井,北陸新幹線 越前たけふ駅 エリア,335,2,4,17,46,56,122,74,12,0,0,163,159,3,10,4,0,0,0,0,0,1,0,3,0,7,4,9,5,2,5,19,110,0,0,26,9,27,8,10,19,35,20,2,1,0,0,2,0,1,0,2,0,1,0,1,0,0,0,1,1,0,161,92,35,20,27,29,44,104,14,42,37,47,14,7,8,35,3,6,3,44,21,13,20,4,0,0,42,0,9,0,0,9,0,121,0,0,6,13,0,37,0,34,3,58,19,37,12,19,4.143283582,130,86,13.13432836,35,9,18,35,40,32,42,22,10,16,12,4,11,49,0,0,0,0,0,0,68,28,21,136,6,0,15,3,26,0,0,0
福井,道の駅「三方五湖」  エリア,278,0,0,11,34,47,110,63,10,0,0,114,152,1,11,0,0,0,1,0,0,2,1,0,0,4,5,8,7,0,4,16,87,0,4,10,5,25,2,18,25,24,19,0,1,0,0,2,3,0,0,2,1,1,0,0,0,0,0,0,1,0,140,78,31,13,16,30,47,128,32,63,26,27,2,0,17,28,0,2,4,42,9,10,15,6,0,0,30,0,4,0,0,5,0,108,0,0,9,14,0,29,0,39,1,56,14,24,7,20,4.190647482,93,62,11.15107914,27,11,15,34,28,30,21,13,14,12,15,3,9,46,0,0,0,0,0,0,48,13,23,112,3,0,11,3,26,0,0,0
福井,越前海岸 北部 エリア,65,0,0,3,7,10,21,20,3,0,0,27,34,2,2,0,0,0,0,0,0,0,1,0,0,0,1,6,3,0,1,4,20,0,0,4,1,7,1,2,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,10,2,2,8,20,27,6,12,10,0,1,0,10,2,1,1,0,7,0,0,2,0,0,0,6,0,0,0,0,0,0,30,0,0,4,2,0,14,0,8,0,10,1,7,4,4,4.230769231,24,10,21.53846154,6,4,5,8,7,6,5,6,2,4,2,3,2,5,0,0,0,0,0,0,2,2,5,29,2,0,1,0,9,0,0,0
福井,越前海岸 越前岬 エリア,93,0,0,0,6,14,19,40,14,0,0,36,53,2,2,0,0,0,0,0,0,0,1,0,0,1,2,9,3,0,5,6,18,0,3,10,1,13,2,4,4,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,45,27,14,4,3,8,29,53,20,16,7,8,3,1,1,5,0,3,0,11,3,1,6,1,0,0,6,0,3,0,0,2,0,52,0,0,4,3,0,17,0,9,1,20,5,10,3,9,4.129032258,37,27,10.75268817,12,2,11,8,11,7,9,8,2,2,6,4,1,10,0,0,0,0,0,0,6,6,14,35,4,0,6,0,9,0,0,0
福井,うみんぴあ大飯 エリア,217,0,1,4,37,42,79,46,6,0,0,111,98,1,7,0,0,0,0,0,0,0,0,0,0,2,2,7,3,0,3,0,67,0,0,10,1,7,2,13,33,30,32,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,118,61,9,12,17,23,24,68,7,38,8,28,7,1,8,28,3,4,0,26,15,12,11,1,0,0,17,0,2,0,0,1,0,80,0,0,6,9,0,22,0,17,1,40,14,30,10,7,4.207373272,77,46,14.28571429,20,4,14,22,29,13,33,14,12,11,5,5,6,29,0,0,0,0,0,0,48,9,4,89,2,0,6,2,31,0,0,0
福井,道の駅「越前」 エリア,535,3,3,34,72,109,185,110,17,0,0,231,286,5,13,1,2,0,1,0,0,2,0,3,3,6,9,22,16,3,6,37,144,1,5,30,13,58,16,32,33,58,16,4,2,0,0,3,4,1,0,0,0,0,3,0,1,0,0,0,0,0,252,149,76,31,27,58,161,268,31,86,61,78,30,4,23,45,6,5,0,59,14,2,28,2,0,0,53,0,11,0,0,7,0,233,0,0,18,16,0,63,0,69,3,97,25,77,23,32,4.220560748,217,102,21.4953271,52,9,33,41,61,61,47,35,29,30,27,15,20,75,0,0,0,0,0,0,50,43,30,231,0,0,25,6,80,0,0,0
福井,北潟湖 エリア,294,1,0,11,25,54,99,68,32,0,0,126,153,2,13,1,0,0,1,0,0,1,0,0,0,7,7,15,3,0,8,43,106,1,1,4,1,20,4,9,17,26,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,133,93,34,18,16,45,79,102,17,68,17,35,11,6,13,39,2,1,0,48,9,4,20,4,0,0,30,0,2,0,0,2,0,118,0,0,15,11,0,45,0,36,2,53,10,36,8,19,4.241496599,111,69,14.28571429,28,12,30,28,29,38,27,20,8,11,9,6,6,42,0,0,0,0,0,0,34,14,14,137,2,0,13,0,34,0,0,0
福井,道の駅「パークイン丹生ヶ丘」 エリア,163,1,2,8,28,29,56,32,5,0,0,75,85,0,3,0,0,0,0,0,0,1,0,0,0,2,0,3,5,0,1,17,82,1,2,5,2,9,1,3,2,14,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98,36,18,6,5,13,30,45,13,14,13,18,14,2,4,13,4,0,1,17,12,3,10,1,0,0,6,0,3,0,0,1,0,56,0,0,6,3,0,15,0,22,1,44,7,23,3,8,4.055214724,42,53,-6.748466258,16,6,12,21,15,19,20,7,7,6,9,5,2,18,0,0,0,0,0,0,20,10,6,63,0,0,8,2,27,0,0,0
福井,一乗谷朝倉氏遺跡 エリア,420,0,4,15,46,101,117,119,16,0,0,239,162,7,12,5,2,0,1,0,0,0,1,0,2,11,14,18,19,0,6,12,131,1,5,12,7,58,11,9,13,34,27,6,2,0,0,1,4,0,1,1,1,0,3,0,1,1,0,0,0,0,189,113,62,31,25,40,78,130,28,125,45,18,14,1,13,40,4,1,1,33,20,14,23,0,0,0,20,0,7,0,0,4,0,142,0,0,8,22,0,81,0,40,1,79,22,49,17,17,4.157142857,151,89,14.76190476,26,15,25,32,37,100,42,21,19,14,20,11,10,48,0,0,0,0,0,0,99,12,26,180,3,0,14,6,30,0,0,0
福井,大本山 永平寺 エリア,1633,3,19,166,240,295,562,299,46,0,0,729,852,16,36,22,4,4,11,2,5,3,17,11,23,71,68,267,96,12,32,65,84,3,20,52,44,164,32,37,60,180,103,32,11,4,1,15,17,4,6,12,4,0,16,3,4,5,0,2,2,3,352,569,436,149,127,200,368,657,95,904,308,69,47,22,23,209,33,8,2,70,64,59,139,7,0,0,150,0,32,0,0,20,0,762,0,0,40,81,0,354,0,266,5,260,74,171,67,84,4.424372321,744,231,31.4145744,136,33,104,153,145,183,128,118,108,96,123,62,64,180,0,0,0,0,0,0,190,105,153,541,24,1,156,32,100,0,0,0
福井,JR九頭竜湖駅 エリア,237,0,1,14,26,39,96,50,11,0,0,102,127,2,6,0,0,0,0,0,0,0,0,0,0,1,7,8,1,0,2,6,112,0,2,20,3,42,2,0,6,18,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,47,15,4,15,12,21,75,25,48,14,33,16,3,4,31,4,3,2,55,7,1,9,3,0,0,22,0,5,0,0,4,0,83,0,0,1,11,0,32,0,27,1,45,11,39,4,13,3.864978903,63,80,-7.172995781,22,10,11,25,16,29,22,16,12,12,11,5,6,40,0,0,0,0,0,0,34,10,13,112,5,0,13,1,16,0,0,0
福井,福井駅前 エリア（宿泊施設）,285,1,2,17,38,48,84,92,2,0,0,161,113,3,8,6,0,0,3,0,3,0,8,4,5,5,10,38,13,6,6,8,54,1,2,2,5,19,3,6,13,21,24,2,0,0,0,1,1,2,2,0,0,0,6,1,1,1,0,1,1,1,45,100,59,49,32,16,19,119,6,50,52,14,16,8,2,36,2,1,2,5,14,64,19,2,0,0,17,0,3,0,0,3,0,145,0,0,29,8,0,60,0,34,3,25,13,9,4,10,4.122807018,104,50,18.94736842,13,7,18,19,20,61,21,23,21,10,24,9,13,26,0,0,0,0,0,0,86,14,18,95,4,0,7,20,23,0,0,0
福井,越前大野城・城下町 エリア,892,2,5,64,88,131,319,240,39,0,0,421,441,4,26,1,0,1,4,0,2,1,1,2,3,7,11,39,23,3,26,50,390,1,2,43,9,99,10,19,27,59,29,9,2,0,0,7,0,0,2,0,4,2,2,1,0,0,1,0,0,0,528,161,104,51,48,63,113,344,70,338,81,94,42,6,26,175,6,3,4,88,50,17,31,12,0,0,113,0,18,0,0,9,0,339,0,0,17,53,0,212,0,118,8,209,47,132,35,21,4.209641256,296,201,10.65022422,74,27,57,90,88,139,65,65,49,42,41,25,12,118,0,0,0,0,0,0,153,31,52,407,2,1,49,5,80,0,0,0
福井,道の駅「南えちぜん山海里」 エリア,613,2,2,38,100,133,218,100,18,0,0,270,317,2,24,0,0,0,0,1,0,1,0,0,0,4,3,8,10,4,19,33,162,0,1,25,18,91,9,33,28,86,44,17,7,0,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,243,208,92,37,33,46,74,190,38,76,77,103,28,5,15,47,6,12,1,71,45,27,47,4,0,0,44,0,12,0,0,9,0,204,0,0,15,19,0,62,0,64,2,111,30,80,24,73,4.380097879,294,90,33.27895595,44,20,25,70,62,70,78,40,38,21,30,17,5,93,0,0,0,0,0,0,99,29,31,222,1,0,32,9,88,0,0,0
福井,レインボーライン エリア,278,0,0,22,40,52,98,51,15,0,0,99,170,1,8,1,0,0,0,0,0,0,1,1,0,8,5,17,20,2,3,12,34,0,0,20,2,35,7,13,12,39,21,4,2,1,0,5,4,0,1,4,0,0,0,0,2,0,0,0,2,0,92,103,55,12,16,43,33,125,33,108,36,14,8,2,8,39,0,1,0,36,7,4,13,1,0,0,41,0,6,0,0,6,0,120,0,0,10,24,0,47,0,37,3,54,8,28,13,11,4.442446043,138,37,36.33093525,28,12,20,34,28,27,23,21,12,13,12,13,8,27,0,0,0,0,0,0,13,23,15,110,7,0,19,5,29,0,0,0
福井,道の駅「恐竜渓谷かつやま」 エリア,760,5,7,54,124,158,241,147,21,0,0,311,418,3,28,2,0,0,2,0,0,1,0,3,2,9,13,29,17,0,13,28,312,3,6,29,17,75,12,29,21,74,28,12,2,0,0,2,2,2,4,2,2,0,1,0,2,0,1,0,3,0,393,204,75,37,51,39,84,167,41,106,189,100,30,5,27,93,5,34,3,96,27,18,38,7,0,0,76,0,11,0,0,10,0,294,0,0,11,29,0,86,0,78,2,120,30,94,23,44,4.223684211,272,190,10.78947368,57,23,61,61,79,90,82,68,45,39,35,20,6,94,0,0,0,0,0,0,103,28,34,308,3,0,41,3,131,0,0,0
福井,あわら湯のまち エリア,1597,3,8,185,256,253,429,365,91,0,0,692,862,9,34,9,3,0,3,0,3,5,18,10,11,43,35,137,54,16,44,100,343,2,21,48,29,133,20,67,68,181,93,34,8,3,4,10,5,2,3,8,6,1,10,1,0,1,3,0,1,1,200,1017,263,58,59,750,919,851,33,251,303,63,24,12,19,100,24,6,9,39,30,53,88,18,0,0,319,0,47,0,0,33,0,807,0,0,150,66,0,252,0,200,9,164,45,117,45,58,4.361928616,738,251,30.49467752,95,26,96,127,154,227,135,93,87,106,113,60,62,216,0,0,0,0,0,0,97,98,94,503,52,0,145,44,216,0,0,0
福井,湖上館パムコ（水月湖）エリア,171,1,1,9,14,26,67,44,9,0,0,70,94,1,6,0,0,0,0,0,0,1,0,0,0,2,1,5,5,0,3,10,25,1,0,9,3,29,2,12,17,20,20,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,59,10,5,8,16,21,125,12,41,6,24,1,1,3,9,1,1,0,29,4,2,6,0,0,0,29,0,5,0,0,2,0,74,0,0,1,31,0,20,0,34,0,21,3,15,4,4,4.210526316,70,33,21.6374269,20,11,9,16,17,18,9,10,3,13,10,6,3,26,0,0,0,0,0,0,10,12,22,90,0,0,7,2,8,0,0,0
福井,明通寺 エリア,239,0,2,6,23,39,74,76,18,0,0,122,110,2,5,4,0,0,0,0,0,0,1,3,1,13,8,18,9,0,3,6,57,2,2,8,10,15,0,6,24,28,13,3,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,105,57,44,15,18,22,17,98,29,135,9,12,5,2,1,40,4,0,1,17,16,7,16,1,0,0,11,0,6,0,0,1,0,111,0,0,8,13,0,41,0,27,4,55,19,17,11,12,4.410041841,91,57,14.22594142,22,12,18,34,33,27,13,9,7,11,10,3,10,30,0,0,0,0,0,0,54,6,26,96,1,0,16,4,5,0,0,0
福井,福井駅前 エリア,982,1,4,100,175,221,266,193,21,0,0,458,471,8,45,11,0,0,9,0,1,4,2,9,6,41,42,140,48,7,20,25,214,2,9,13,17,90,3,21,21,113,55,10,3,1,1,8,5,2,2,1,6,1,13,1,1,1,0,2,1,0,313,263,194,113,99,84,125,340,47,198,131,93,47,29,12,152,15,5,3,26,75,86,57,11,0,0,135,0,39,0,0,16,0,421,0,0,43,51,0,178,0,137,8,167,89,131,51,34,4.315682281,471,147,32.99389002,78,20,50,74,85,155,89,63,61,34,74,30,39,130,0,0,0,0,0,0,336,48,63,255,4,0,41,27,95,0,0,0
福井,熊川宿 エリア,224,0,1,14,23,27,93,56,9,0,0,108,101,3,12,0,2,0,0,0,0,1,0,0,0,5,3,8,3,1,0,0,34,0,3,18,5,14,3,20,33,40,21,5,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,119,64,21,13,7,11,26,90,16,64,6,25,8,0,3,47,2,0,1,44,5,4,6,3,0,0,19,0,6,0,0,3,0,93,0,0,4,12,0,29,0,13,0,54,15,35,10,11,4.102678571,67,64,1.339285714,19,8,8,22,21,24,21,21,6,4,15,5,5,45,0,0,0,0,0,0,43,10,7,108,2,0,10,2,2,0,0,0
