TIF,回答場所,回答数,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,男,女,その他,無回答,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,日帰り,1泊,2泊,3泊,4泊以上,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,満足度（旅行全体）,推奨者,非推奨者,NPS,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",分からない/無回答,1: 300万円未満,5: 2000万円以上,3: 600?1000万円,2: 300?599万円,4: 1000?2000万円,6: 無回答,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援
福井,北陸新幹線 越前たけふ駅 エリア,95,0,0,2,14,17,33,24,4,0,0,56,37,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,5,28,0,0,9,2,8,6,4,4,14,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,44,19,13,12,7,10,11,26,5,13,11,10,6,2,5,9,1,2,2,15,3,4,8,2,0,0,14,0,2,0,0,1,0,28,0,0,1,0,0,15,0,13,2,17,7,10,5,5,4.115789474,34,28,6.315789474,4,3,7,6,11,13,13,8,3,5,2,2,4,14,0,0,0,0,0,0,22,15,8,28,1,0,2,2,4,0,0,0
福井,道の駅「三方五湖」  エリア,76,0,0,5,10,13,32,14,1,0,0,33,40,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,1,7,27,0,0,2,1,9,1,3,4,6,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,44,16,9,6,1,7,14,28,13,16,9,7,1,0,2,11,0,1,0,13,3,6,5,0,0,0,9,0,0,0,0,0,0,29,0,0,2,3,0,8,0,7,0,19,4,7,2,6,4.328947368,30,14,21.05263158,7,3,3,8,10,10,6,3,2,6,5,0,2,11,0,0,0,0,0,0,18,3,6,27,0,0,5,3,2,0,0,0
福井,越前海岸 北部 エリア,6,0,0,0,0,2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,1,0,1,0,0,3.833333333,3,1,33.33333333,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
福井,越前海岸 越前岬 エリア,11,0,0,0,0,2,3,5,1,0,0,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,0,1,4,6,0,3,2,2,0,0,0,1,0,2,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,4,0,0,1,1,4.181818182,3,3,0,2,0,4,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,4,2,0,0,0,0,1,0,0,0
福井,うみんぴあ大飯 エリア,74,0,0,3,11,13,27,19,0,0,0,36,33,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,24,0,0,4,1,3,0,6,8,13,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45,17,4,3,5,3,6,26,2,15,3,11,2,0,5,5,1,0,0,13,6,2,7,0,0,0,6,0,0,0,0,0,0,25,0,0,1,3,0,6,0,9,1,11,5,11,3,5,4.202702703,27,13,18.91891892,10,3,6,11,7,5,6,5,2,1,1,1,3,13,0,0,0,0,0,0,14,4,0,33,1,0,1,1,10,0,0,0
福井,道の駅「越前」 エリア,139,1,0,10,23,27,43,30,4,0,0,63,70,1,5,0,0,0,0,0,0,1,0,0,0,3,7,7,4,0,2,15,40,0,2,13,2,11,0,5,2,19,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,34,17,9,9,14,36,74,12,16,18,17,10,1,8,15,3,2,0,18,2,1,10,1,0,0,19,0,2,0,0,4,0,61,0,0,5,5,0,14,0,18,1,23,7,29,4,6,4.230215827,62,24,27.3381295,11,3,11,12,23,15,13,10,7,8,5,3,4,14,0,0,0,0,0,0,16,16,3,56,0,0,6,1,27,0,0,0
福井,北潟湖 エリア,70,1,0,4,8,9,18,20,9,0,0,28,37,0,5,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,14,27,1,1,0,1,6,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,33,23,6,4,4,15,17,21,2,14,3,8,1,0,0,11,0,0,0,9,1,3,4,0,0,0,6,0,1,0,0,0,0,23,0,0,5,2,0,12,0,3,1,14,2,13,2,6,4.171428571,26,11,21.42857143,9,6,5,7,6,7,5,4,2,2,1,0,2,14,0,0,0,0,0,0,7,3,2,34,1,0,4,0,9,0,0,0
福井,道の駅「パークイン丹生ヶ丘」 エリア,32,0,1,1,3,5,13,7,1,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,16,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,2,0,0,3,5,6,2,4,1,2,1,0,0,4,2,0,0,5,1,1,1,1,0,0,3,0,0,0,0,0,0,11,0,0,1,2,0,0,0,4,1,8,2,7,0,0,4.0625,8,10,-6.25,4,1,2,4,3,5,2,0,2,1,1,2,1,4,0,0,0,0,0,0,3,2,2,12,0,0,3,0,4,0,0,0
福井,一乗谷朝倉氏遺跡 エリア,84,0,0,2,14,14,23,28,2,0,0,37,40,4,3,1,2,0,0,0,0,0,1,0,1,2,5,1,1,0,1,6,21,0,2,6,2,7,4,2,2,6,4,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,33,15,17,12,7,9,16,22,4,26,8,4,4,0,4,14,1,0,0,11,3,3,4,0,0,0,4,0,1,0,0,2,0,32,0,0,3,2,0,9,0,11,0,14,9,5,2,4,4.071428571,30,15,17.85714286,9,3,8,8,8,5,6,5,5,4,6,3,3,11,0,0,0,0,0,0,12,0,5,42,0,0,5,2,5,0,0,0
福井,大本山 永平寺 エリア,402,1,3,26,55,81,139,89,7,0,0,175,211,4,12,10,0,1,1,0,0,2,3,2,6,22,15,48,22,2,10,21,20,0,4,18,12,48,9,5,11,43,26,8,3,2,0,7,5,1,1,3,2,0,2,0,1,2,0,0,1,3,100,129,99,42,32,37,83,151,42,220,77,20,14,3,6,48,8,0,0,25,16,17,37,1,0,0,40,0,4,0,0,7,0,201,0,0,8,19,0,87,0,61,0,67,20,39,17,18,4.412935323,187,49,34.32835821,35,11,27,34,43,43,30,38,18,26,28,13,9,47,0,0,0,0,0,0,51,29,44,128,6,1,37,15,21,0,0,0
