TIF,回答場所,回答数,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,男,女,その他,無回答,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,日帰り,1泊,2泊,3泊,4泊以上,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,満足度（旅行全体）,推奨者,非推奨者,NPS,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",分からない/無回答,1: 300万円未満,5: 2000万円以上,3: 600?1000万円,2: 300?599万円,4: 1000?2000万円,6: 無回答,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援
福井,北陸新幹線 越前たけふ駅 エリア,1448,2,7,77,194,271,501,321,72,0,0,644,744,8,52,7,0,0,0,0,1,5,1,7,4,30,7,37,16,6,20,78,524,1,9,87,22,172,25,64,68,122,84,18,2,0,1,12,3,1,2,4,0,1,0,1,0,1,1,1,3,0,776,369,148,76,79,117,186,518,57,247,84,210,64,27,25,197,8,11,10,190,81,45,111,12,0,0,105,0,30,0,0,17,0,518,0,0,27,137,0,226,0,154,8,251,69,167,33,90,4.070441989,456,506,-3.453038674,138,58,109,160,150,122,156,100,56,55,68,19,22,235,0,0,0,0,0,0,255,84,81,598,38,0,91,15,119,0,0,0
福井,道の駅「三方五湖」  エリア,1158,2,9,54,120,200,411,294,60,0,0,491,630,9,28,4,1,0,4,1,0,5,1,6,2,16,16,55,31,5,16,37,280,2,11,38,21,115,20,70,101,117,126,7,7,4,5,13,3,1,3,5,2,2,4,0,0,0,0,0,1,0,387,465,162,63,81,203,267,534,86,285,101,97,36,6,65,117,11,6,17,163,49,28,64,15,0,0,85,0,19,0,0,13,0,519,0,0,49,38,0,169,0,142,11,247,59,104,43,68,4.170984456,375,291,7.25388601,95,42,75,120,124,108,107,73,61,56,64,27,32,174,0,0,0,0,0,0,121,59,93,504,12,0,54,21,101,0,0,0
福井,越前海岸 北部 エリア,307,1,0,21,41,65,83,83,11,0,0,133,163,5,6,1,0,0,0,0,0,0,2,0,3,4,3,17,9,2,8,13,117,0,5,21,6,33,5,10,14,20,9,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,118,133,41,7,8,53,136,132,17,53,34,14,5,0,34,19,9,3,0,26,14,6,15,5,0,0,31,0,4,0,0,4,0,157,0,0,22,17,0,58,0,44,2,40,11,33,12,17,4.315960912,114,57,18.56677524,33,9,24,31,35,36,25,23,16,12,15,11,9,28,0,0,0,0,0,0,26,15,23,119,3,0,11,4,55,0,0,0
福井,越前海岸 越前岬 エリア,315,1,2,11,28,50,81,116,25,0,0,107,195,2,11,0,0,0,0,0,0,1,1,0,5,1,2,13,4,0,7,20,111,1,5,23,2,60,3,12,8,21,5,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,181,81,32,9,12,31,70,168,53,68,16,31,13,1,7,20,1,5,0,32,11,2,12,4,0,0,34,0,10,0,0,5,0,135,0,0,10,15,0,64,0,34,3,83,21,33,12,25,4.142857143,111,91,6.349206349,28,18,28,37,36,22,26,22,13,14,17,8,2,44,0,0,0,0,0,0,26,15,33,129,12,0,23,1,28,0,0,0
福井,うみんぴあ大飯 エリア,1148,5,8,40,184,234,380,257,36,0,0,459,643,6,40,1,0,1,0,0,1,1,2,0,2,9,6,35,11,2,8,18,316,0,4,36,8,67,18,71,214,123,151,10,1,1,0,12,4,2,0,6,1,2,3,0,0,0,0,0,0,1,586,330,109,46,77,145,128,410,38,167,73,176,65,7,77,133,19,10,3,170,57,52,83,9,0,0,107,0,13,0,0,9,0,447,0,0,41,36,0,105,0,130,3,223,68,131,36,81,4.24912892,428,237,16.63763066,99,38,83,122,128,102,145,88,56,39,63,19,18,148,0,0,0,0,0,0,186,48,39,447,9,0,63,18,197,0,0,0
福井,道の駅「越前」 エリア,1514,6,16,86,204,281,527,331,61,0,0,637,839,12,26,4,2,0,1,1,0,3,5,8,11,23,21,61,28,4,15,71,501,1,10,83,30,148,59,104,95,132,51,11,5,0,0,10,5,1,2,1,1,0,4,0,1,0,0,0,1,0,768,425,171,69,81,134,400,692,76,244,117,214,86,10,62,108,23,9,6,192,40,14,87,6,0,0,115,0,26,0,0,17,0,626,0,0,44,59,0,185,0,185,6,278,80,200,73,100,4.138705416,540,370,11.22853369,165,56,100,154,163,154,160,84,74,73,69,27,40,195,0,0,0,0,0,0,160,111,93,678,2,0,86,12,176,0,0,0
福井,北潟湖 エリア,955,4,5,41,105,169,307,248,72,0,0,401,523,6,25,2,0,0,1,0,0,1,4,0,1,11,10,50,10,3,29,134,402,2,5,23,8,66,11,32,35,64,27,4,2,0,0,3,0,0,0,2,2,1,4,1,1,0,0,2,2,0,482,265,123,37,48,119,200,353,63,200,68,139,50,8,25,108,9,1,6,130,28,8,65,7,0,0,91,0,12,0,0,6,0,354,0,0,42,64,0,172,0,115,2,161,44,99,24,48,4.130890052,289,288,0.104712042,84,48,77,99,101,132,79,58,36,28,36,17,14,146,0,0,0,0,0,0,95,53,52,452,7,0,55,3,111,0,0,0
福井,道の駅「パークイン丹生ヶ丘」 エリア,636,4,2,24,99,118,205,159,23,0,0,261,360,2,13,3,0,0,0,0,0,1,0,0,0,9,1,18,14,0,11,42,333,1,4,21,8,32,7,26,22,38,23,12,2,1,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,346,183,65,16,26,70,153,209,38,80,56,70,42,3,12,50,9,0,3,74,28,17,37,3,0,0,33,0,6,0,0,2,0,214,0,0,33,17,0,67,0,81,3,134,24,81,12,41,3.996855346,141,248,-16.82389937,64,30,50,74,75,62,67,36,29,26,26,12,9,76,0,0,0,0,0,0,85,39,26,258,2,0,35,5,111,0,0,0
福井,一乗谷朝倉氏遺跡 エリア,2026,4,19,131,216,406,628,515,102,0,0,953,990,15,68,18,2,1,4,1,4,2,17,6,11,56,49,155,118,9,42,86,513,4,21,83,40,245,31,64,68,152,98,31,13,5,1,21,14,3,2,7,5,0,15,4,1,1,2,0,0,1,734,634,368,158,132,204,380,612,105,933,238,102,62,12,50,227,17,6,7,136,77,52,122,13,0,0,114,0,34,0,0,16,0,769,0,0,46,170,0,432,0,220,6,386,102,230,68,93,4.232971372,679,496,9.032576505,141,90,132,192,206,322,138,132,118,83,121,42,51,258,0,0,0,0,0,0,365,83,142,791,41,0,126,21,169,0,0,0
福井,大本山 永平寺 エリア,3869,5,53,371,510,753,1259,794,117,0,0,1667,2074,33,95,48,8,9,24,7,12,11,39,28,48,178,149,546,269,32,88,150,195,6,69,120,109,458,73,93,142,389,252,61,38,14,8,45,28,5,15,22,6,0,34,8,7,9,3,3,5,6,806,1407,1049,327,280,460,918,1570,240,2294,588,163,91,83,52,472,70,14,9,200,156,100,316,21,0,0,302,0,81,0,0,50,0,1863,0,0,103,191,0,889,0,578,19,656,178,377,162,196,4.398035668,1752,573,30.47299044,328,94,271,366,369,403,302,298,229,219,266,129,142,453,0,0,0,0,0,0,442,216,350,1384,76,2,359,63,227,0,0,0
