TIF,回答場所,回答数,旅行全体満足度合計,旅行全体満足度回答数,商品サービス満足度合計,商品サービス満足度回答数,推奨度合計,推奨度回答数,推奨者,中立者,非推奨者,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,その他/無回答,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,日帰り,1泊,2泊,3泊,4泊以上,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,300万円未満,300～599万円,600～999万円,"1,000～1,999万円","2,000万円以上",分からない/無回答
富山,上市町,151,657.0,151,0,0,1263.0,151,75,59,17,0,2,10,17,25,39,43,15,0,0,0,60,88,3,2,0,0,0,0,0,0,1,3,1,1,6,14,5,10,41,12,2,1,7,5,1,10,2,1,3,9,6,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,33,71,24,8,15,0,0,0,0,0,0,0,0,0,0,0,0,56,83,95,27,0,0,0,4,0,11,8,8,0,1,11,0,0,1,2,26,26,32,3,14,17,10,0,5,0,0,41,45,0,0,41,14,28,0,0,0,5,62,2,29,41,41,19,1,20
富山,不明,92,404.0,92,0,0,775.0,92,48,30,14,1,2,3,10,14,27,25,9,1,0,0,39,52,1,2,0,0,0,0,0,0,1,2,1,2,1,11,2,4,28,9,2,0,1,1,2,4,1,2,2,4,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,36,26,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,31,38,58,14,0,0,0,6,0,5,4,4,0,1,6,0,1,1,3,2,1,12,0,7,7,1,0,5,0,0,22,20,0,0,21,6,20,0,0,0,6,37,9,14,35,20,11,1,11
富山,入善町,144,626.0,144,0,0,1224.0,144,76,49,19,0,1,15,11,21,35,45,13,3,0,0,60,82,2,1,0,0,0,1,0,0,1,1,8,15,7,11,4,7,43,5,2,1,15,2,3,4,0,1,1,4,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,58,18,11,15,0,0,0,0,0,0,0,0,0,0,0,0,37,57,103,25,0,0,0,7,0,16,9,9,0,2,12,0,6,2,4,31,31,29,4,12,17,1,0,3,0,0,20,16,0,0,28,10,34,0,0,0,10,60,10,30,40,41,20,3,10
富山,南砺市,598,2551.0,598,0,0,4938.0,598,302,197,99,0,10,24,46,71,161,212,68,6,0,0,251,344,3,0,1,0,3,0,0,2,4,4,7,8,15,36,25,8,168,121,24,2,12,18,10,44,8,12,11,25,14,7,0,0,1,1,2,0,0,1,0,0,3,0,1,0,0,0,0,0,137,272,115,25,49,0,0,0,0,0,0,0,0,0,0,0,0,231,363,372,69,0,0,0,34,0,30,40,40,0,5,59,0,13,5,25,104,101,94,17,30,55,16,0,10,0,0,129,159,0,0,127,32,146,0,1,0,33,228,32,111,210,143,64,16,54
富山,富山市,4610,19871.0,4610,0,0,38696.0,4610,2395,1585,630,3,35,233,429,604,1427,1421,434,24,0,0,1948,2610,52,59,7,16,36,10,21,28,44,49,53,238,207,587,338,128,763,138,56,21,132,135,105,355,50,63,133,315,203,59,22,6,5,31,35,11,8,11,14,6,55,8,7,9,13,7,7,6,417,1934,1355,481,423,0,0,0,0,0,0,0,0,0,0,0,0,972,1302,2718,667,0,0,0,186,0,322,473,473,0,30,228,0,433,30,140,1061,1044,936,104,336,634,72,3,137,0,0,965,1042,0,0,1182,417,1028,1,1,2,240,2101,151,824,1329,1206,622,98,531
富山,射水市,827,3540.0,827,0,0,6918.0,827,435,269,123,3,5,40,93,149,258,222,55,2,0,0,343,477,7,3,0,0,4,0,0,0,9,6,13,28,19,54,48,20,234,76,18,5,48,37,19,62,6,10,14,46,20,17,1,0,0,2,1,0,0,0,0,1,1,0,0,0,3,0,1,1,198,305,179,78,67,0,0,0,0,0,0,0,0,0,0,0,0,186,194,548,77,0,0,0,64,0,44,87,87,0,7,92,0,33,7,27,222,221,185,26,58,99,17,0,25,0,0,101,152,0,0,167,29,190,2,1,0,43,371,47,182,250,208,79,13,95
富山,小矢部市,355,1481.0,355,0,0,2892.0,355,172,115,68,0,5,18,30,72,96,106,26,2,0,0,143,210,2,0,0,0,0,1,2,0,1,1,1,10,5,12,8,5,118,96,16,1,7,6,1,20,3,5,8,12,10,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,162,114,36,25,18,0,0,0,0,0,0,0,0,0,0,0,0,88,137,179,38,0,0,0,28,0,14,20,20,0,3,29,0,8,3,14,79,77,65,7,20,38,8,0,12,0,0,57,52,0,0,78,13,88,0,1,0,19,136,24,74,123,87,27,2,42
富山,朝日町,270,1181.0,270,0,0,2274.0,270,157,68,45,1,2,14,17,59,69,84,20,4,0,0,106,158,6,4,0,1,0,1,0,1,1,7,5,16,10,30,11,11,57,14,5,0,9,10,8,12,3,7,8,13,7,3,1,1,0,1,2,2,0,1,2,0,4,0,0,1,0,0,1,0,50,101,67,32,20,0,0,0,0,0,0,0,0,0,0,0,0,82,121,171,74,0,0,0,11,0,48,23,23,0,4,27,0,5,4,10,56,56,51,2,18,38,5,0,9,0,0,52,61,0,0,63,16,54,0,0,0,18,135,9,52,84,73,33,3,25
富山,氷見市,2418,10276.0,2418,0,0,19751.0,2418,1210,755,453,1,23,106,163,302,627,796,359,41,0,0,988,1417,13,10,1,5,8,7,5,10,23,14,34,79,58,159,101,47,830,216,27,15,98,79,44,160,26,27,49,125,76,26,12,0,2,7,4,1,6,3,5,2,6,0,0,1,2,4,2,2,335,1333,463,166,121,0,0,0,0,0,0,0,0,0,0,0,0,1043,1509,1684,221,0,0,0,73,0,81,142,142,0,13,176,0,33,13,54,386,376,380,43,116,260,41,1,48,0,0,537,837,0,0,464,119,610,0,1,1,86,927,107,595,766,540,262,19,236
富山,滑川市,318,1379.0,318,0,0,2700.0,318,175,107,36,0,5,30,39,65,81,75,23,0,0,0,139,175,4,3,0,2,2,1,2,3,1,1,10,11,4,51,22,21,29,14,3,1,15,10,13,23,7,4,16,21,16,0,1,0,0,1,4,2,0,0,0,0,3,0,0,1,0,0,0,0,53,97,110,28,30,0,0,0,0,0,0,0,0,0,0,0,0,37,48,209,53,0,0,0,22,0,17,19,19,0,4,24,0,14,4,11,98,96,71,8,39,42,4,0,14,0,0,30,58,0,0,62,13,72,0,0,0,22,171,10,51,106,81,39,7,34
