月,TIF,回答数,旅行全体満足度合計,旅行全体満足度回答数,商品サービス満足度合計,商品サービス満足度回答数,推奨度合計,推奨度回答数,推奨者,中立者,非推奨者
2023-04,福井,241,996.0,241,995.0,241,1753.0,241,80,78,83
2023-05,福井,3084,12884.0,3084,12808.0,3084,23103.0,3084,1042,1176,866
2023-06,福井,2258,9523.0,2258,9418.0,2258,16984.0,2258,770,841,647
2023-07,福井,2440,10155.0,2440,10147.0,2440,18149.0,2440,742,1032,666
2023-08,福井,1992,8273.0,1992,8206.0,1992,15044.0,1992,659,796,537
2023-09,石川,24,0,0,108.0,24,209.0,24,14,8,2
2023-09,福井,1740,7223.0,1740,7233.0,1740,12928.0,1740,553,670,517
2023-10,石川,380,0,0,1552.0,380,3186.0,380,193,140,47
2023-10,福井,1815,7488.0,1815,7412.0,1815,13139.0,1815,515,697,603
2023-11,石川,517,0,0,2147.0,517,4333.0,517,267,187,63
2023-11,福井,2388,9925.0,2388,9874.0,2388,18093.0,2388,793,970,625
2023-12,石川,739,0,0,3177.0,739,6267.0,739,408,233,98
2023-12,福井,1929,8073.0,1929,8058.0,1929,14385.0,1929,667,664,598
2024-01,石川,422,0,0,1758.0,422,3487.0,422,212,141,69
2024-01,福井,878,3679.0,878,3666.0,878,6737.0,878,335,321,222
2024-02,石川,660,0,0,2728.0,660,5565.0,660,367,207,86
2024-02,福井,1344,5583.0,1344,5561.0,1344,10171.0,1344,434,567,343
2024-03,石川,811,0,0,3435.0,811,6746.0,811,414,272,125
2024-03,福井,3149,13197.0,3149,13151.0,3149,24242.0,3149,1120,1324,705
2024-04,石川,549,2078.0,466,2309.0,549,4423.0,549,245,214,90
2024-04,福井,3227,13478.0,3227,13427.0,3227,24620.0,3227,1064,1368,795
2024-05,石川,271,1208.0,271,1128.0,271,2142.0,271,120,93,58
2024-05,福井,2927,12327.0,2927,12243.0,2927,22639.0,2927,1055,1199,673
2024-06,石川,452,2014.0,452,1911.0,452,3645.0,452,220,148,84
2024-06,福井,2322,9776.0,2322,9708.0,2322,17917.0,2322,824,945,553
2024-07,石川,615,2730.0,615,2635.0,615,5005.0,615,281,243,91
2024-07,福井,1892,8008.0,1892,7954.0,1892,14682.0,1892,686,783,423
2024-08,石川,1113,5053.0,1113,4901.0,1113,9303.0,1113,623,322,168
2024-08,福井,2603,11122.0,2603,11047.0,2603,20522.0,2603,996,1087,520
2024-09,石川,745,3330.0,745,3227.0,745,6089.0,745,363,251,131
2024-09,福井,2648,11298.0,2648,11238.0,2648,20753.0,2648,1029,1087,532
2024-10,石川,565,2525.0,565,2437.0,565,4616.0,565,262,218,85
2024-10,福井,2215,9433.0,2215,9330.0,2215,17451.0,2215,868,894,453
2024-11,石川,634,2817.0,634,2736.0,634,5190.0,634,289,244,101
2024-11,福井,2537,10665.0,2537,10598.0,2537,19794.0,2537,918,1084,535
2024-12,石川,378,1709.0,378,1622.0,378,3114.0,378,188,126,64
2024-12,福井,1940,8323.0,1940,8268.0,1940,15564.0,1940,840,746,354
2025-01,石川,388,1754.0,388,1667.0,388,3206.0,388,190,140,58
2025-01,福井,1461,6298.0,1461,6249.0,1461,11712.0,1461,605,585,271
2025-02,石川,312,1420.0,312,1357.0,312,2645.0,312,168,107,37
2025-02,福井,1370,5838.0,1370,5812.0,1370,10848.0,1370,528,568,274
2025-03,石川,405,1832.0,405,1740.0,405,3310.0,405,201,134,70
2025-03,福井,2720,11714.0,2720,11657.0,2720,21733.0,2720,1151,1050,519
2025-04,富山,89,381.0,89,0,0,727.0,89,44,27,18
2025-04,石川,272,1233.0,272,1172.0,272,2245.0,272,132,100,40
2025-04,福井,1690,7234.0,1690,7175.0,1690,13377.0,1690,684,665,341
2025-05,富山,1169,5046.0,1169,0,0,9769.0,1169,598,415,156
2025-05,石川,344,1557.0,344,1485.0,344,2876.0,344,166,142,36
2025-05,福井,2989,12719.0,2989,12689.0,2989,23539.0,2989,1190,1173,626
2025-06,富山,521,2227.0,521,0,0,4330.0,521,269,173,79
2025-06,石川,224,1011.0,224,968.0,224,1876.0,224,115,79,30
2025-06,福井,1827,7831.0,1827,7743.0,1827,14346.0,1827,696,770,361
2025-07,富山,362,1518.0,362,0,0,2981.0,362,167,137,58
2025-07,石川,515,2340.0,515,2224.0,515,4260.0,515,262,174,79
2025-07,福井,1735,7453.0,1735,7429.0,1735,13896.0,1735,735,702,298
2025-08,富山,468,1983.0,468,0,0,3882.0,468,234,158,76
2025-08,石川,1091,4912.0,1091,4723.0,1091,9090.0,1091,538,409,144
2025-08,福井,2251,9702.0,2251,9657.0,2251,17957.0,2251,931,906,414
2025-09,富山,323,1361.0,323,0,0,2627.0,323,153,113,57
2025-09,石川,1045,4734.0,1045,4537.0,1045,8596.0,1045,502,389,154
2025-09,福井,2342,10085.0,2342,10034.0,2342,18672.0,2342,987,892,463
2025-10,富山,348,1473.0,348,0,0,2836.0,348,161,135,52
2025-10,石川,1375,6177.0,1375,5958.0,1375,11424.0,1375,672,522,181
2025-10,福井,1814,7669.0,1814,7654.0,1814,14045.0,1814,648,753,413
2025-11,富山,377,1595.0,377,0,0,3129.0,377,195,121,61
2025-11,石川,1730,7865.0,1730,7557.0,1730,14469.0,1730,886,629,215
2025-11,福井,2112,9054.0,2112,8983.0,2112,16848.0,2112,880,822,410
2025-12,富山,481,2062.0,481,0,0,4010.0,481,265,137,79
2025-12,石川,1337,6079.0,1337,5846.0,1337,11196.0,1337,686,483,168
2025-12,福井,1349,5816.0,1349,5793.0,1349,10851.0,1349,585,503,261
2026-01,富山,968,4101.0,968,0,0,8068.0,968,504,312,152
2026-01,石川,1188,5342.0,1188,5163.0,1188,9772.0,1188,588,416,184
2026-01,福井,905,3877.0,905,3855.0,905,7281.0,905,408,314,183
2026-02,富山,964,4163.0,964,0,0,8253.0,964,552,291,121
2026-02,石川,1375,6245.0,1375,5969.0,1375,11359.0,1375,667,526,182
2026-02,福井,1036,4404.0,1036,4404.0,1036,8275.0,1036,403,449,184
2026-03,富山,1125,4885.0,1125,0,0,9548.0,1125,611,379,135
2026-03,石川,1943,8775.0,1943,8382.0,1943,16009.0,1943,939,731,273
2026-03,福井,1954,8434.0,1954,8378.0,1954,15797.0,1954,889,696,369
2026-04,富山,1694,7346.0,1694,0,0,14427.0,1694,969,494,231
2026-04,石川,1383,6192.0,1383,5923.0,1383,11375.0,1383,671,486,226
2026-04,福井,1543,6595.0,1543,6557.0,1543,12226.0,1543,644,568,331
2026-05,富山,1945,8521.0,1945,0,0,16413.0,1945,1078,593,274
2026-05,石川,2064,9288.0,2064,8921.0,2064,16879.0,2064,986,744,334
2026-05,福井,2357,10074.0,2357,10075.0,2357,18807.0,2357,1010,898,449
2026-06,富山,1143,4887.0,1143,0,0,9416.0,1143,551,403,189
2026-06,石川,1493,6666.0,1492,6351.0,1493,12083.0,1493,671,563,259
2026-06,福井,2172,9293.0,2172,9265.0,2172,17133.0,2172,881,836,455
2026-07,富山,1306,5674.0,1306,0,0,10957.0,1306,684,439,183
2026-07,石川,1721,7749.0,1721,7406.0,1721,14233.0,1721,845,610,266
2026-07,福井,1945,8309.0,1945,8262.0,1945,15442.0,1945,775,784,386
2026-08,富山,1620,7041.0,1620,0,0,13463.0,1620,839,524,257
2026-08,石川,2236,10116.0,2236,9731.0,2236,18561.0,2236,1138,764,334
2026-08,福井,2259,9835.0,2259,9802.0,2259,18050.0,2259,1034,777,448
2026-09,石川,1109,5008.0,1109,4831.0,1109,9295.0,1109,587,377,145
2026-09,福井,1275,5463.0,1275,5458.0,1275,10057.0,1275,505,491,279
